epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,157.967,1.53376,4.17118,3.29035,1.80739,0,0.00333,1,0.01259,0.00882,0.00333,1,0.00809,0.00081,1.9011,7.85668,5.13196,1.89547,0,0.00024,8e-05,0.00024,8e-05,0.00024,8e-05,0.00024,8e-05
2,278.044,1.46453,3.9258,3.07807,1.58896,0,0.00333,1,0.01605,0.00642,0,0,0,0,2.60033,8.39771,4.58742,2.34444,0,0.0002727,9.09e-05,0.0002727,9.09e-05,0.0002727,9.09e-05,0.0002727,9.09e-05
